,0
AssignProcessToJobObject,0
CertControlStore,1
CertOpenStore,2
CertOpenSystemStoreA,3
CertOpenSystemStoreW,4
CoCreateInstance,5
CoCreateInstanceEx,6
CoGetClassObject,7
CoInitializeEx,8
CoInitializeSecurity,9
CoUninitialize,10
ControlService,11
CopyFileA,12
CopyFileExW,13
CopyFileW,14
CreateActCtxW,15
CreateDirectoryW,16
CreateJobObjectW,17
CreateProcessInternalW,18
CreateRemoteThread,19
CreateRemoteThreadEx,20
CreateServiceA,21
CreateServiceW,22
CreateThread,23
CreateToolhelp32Snapshot,24
CryptAcquireContextA,25
CryptAcquireContextW,26
CryptCreateHash,27
CryptDecodeObjectEx,28
CryptDecrypt,29
CryptEncrypt,30
CryptExportKey,31
CryptGenKey,32
CryptHashData,33
CryptProtectMemory,34
CryptUnprotectMemory,35
DecryptMessage,36
DeleteFileW,37
DeleteService,38
DeleteUrlCacheEntryA,39
DeleteUrlCacheEntryW,40
DeviceIoControl,41
DnsQuery_A,42
DrawTextExA,43
DrawTextExW,44
EncryptMessage,45
EnumServicesStatusA,46
EnumWindows,47
FindFirstFileExW,48
FindResourceA,49
FindResourceExA,50
FindResourceExW,51
FindResourceW,52
FindWindowA,53
FindWindowExA,54
FindWindowExW,55
FindWindowW,56
GetAdaptersAddresses,57
GetAdaptersInfo,58
GetAddrInfoW,59
GetAsyncKeyState,60
GetBestInterfaceEx,61
GetComputerNameA,62
GetComputerNameW,63
GetCursorPos,64
GetDiskFreeSpaceExW,65
GetDiskFreeSpaceW,66
GetFileAttributesExW,67
GetFileAttributesW,68
GetFileInformationByHandle,69
GetFileInformationByHandleEx,70
GetFileSize,71
GetFileSizeEx,72
GetFileType,73
GetFileVersionInfoExW,74
GetFileVersionInfoSizeExW,75
GetFileVersionInfoSizeW,76
GetFileVersionInfoW,77
GetForegroundWindow,78
GetKeyState,79
GetKeyboardState,80
GetNativeSystemInfo,81
GetShortPathNameW,82
GetSystemDirectoryA,83
GetSystemDirectoryW,84
GetSystemInfo,85
GetSystemMetrics,86
GetSystemTimeAsFileTime,87
GetSystemWindowsDirectoryA,88
GetSystemWindowsDirectoryW,89
GetTempPathW,90
GetTimeZoneInformation,91
GetUserNameA,92
GetUserNameExW,93
GetUserNameW,94
GetVolumeNameForVolumeMountPointW,95
GetVolumePathNameW,96
GetVolumePathNamesForVolumeNameW,97
GlobalMemoryStatus,98
GlobalMemoryStatusEx,99
HttpOpenRequestA,100
HttpOpenRequestW,101
HttpQueryInfoA,102
HttpSendRequestA,103
HttpSendRequestW,104
IWbemServices_ExecMethod,105
IWbemServices_ExecQuery,106
InternetCloseHandle,107
InternetConnectA,108
InternetConnectW,109
InternetCrackUrlA,110
InternetCrackUrlW,111
InternetGetConnectedState,112
InternetGetConnectedStateExA,113
InternetOpenA,114
InternetOpenUrlA,115
InternetOpenUrlW,116
InternetOpenW,117
InternetQueryOptionA,118
InternetReadFile,119
InternetSetOptionA,120
InternetSetStatusCallback,121
IsDebuggerPresent,122
LdrGetDllHandle,123
LdrGetProcedureAddress,124
LdrLoadDll,125
LdrUnloadDll,126
LoadResource,127
LoadStringA,128
LoadStringW,129
LookupAccountSidW,130
LookupPrivilegeValueW,131
MessageBoxTimeoutA,132
MessageBoxTimeoutW,133
Module32FirstW,134
Module32NextW,135
MoveFileWithProgressW,136
NetGetJoinInformation,137
NetShareEnum,138
NotifyBootConfigStatus,139
NtAllocateVirtualMemory,140
NtClose,141
NtCreateFile,142
NtCreateKey,143
NtCreateMutant,144
NtCreateSection,145
NtCreateThreadEx,146
NtCreateUserProcess,147
NtDelayExecution,148
NtDeleteFile,149
NtDeleteKey,150
NtDeleteValueKey,151
NtDeviceIoControlFile,152
NtDuplicateObject,153
NtEnumerateKey,154
NtEnumerateValueKey,155
NtFreeVirtualMemory,156
NtGetContextThread,157
NtLoadDriver,158
NtMapViewOfSection,159
NtOpenDirectoryObject,160
NtOpenFile,161
NtOpenKey,162
NtOpenKeyEx,163
NtOpenMutant,164
NtOpenProcess,165
NtOpenSection,166
NtOpenThread,167
NtProtectVirtualMemory,168
NtQueryAttributesFile,169
NtQueryDirectoryFile,170
NtQueryFullAttributesFile,171
NtQueryInformationFile,172
NtQueryKey,173
NtQuerySystemInformation,174
NtQueryValueKey,175
NtQueueApcThread,176
NtReadFile,177
NtReadVirtualMemory,178
NtResumeThread,179
NtSaveKey,180
NtSetContextThread,181
NtSetInformationFile,182
NtSetValueKey,183
NtSuspendThread,184
NtTerminateProcess,185
NtTerminateThread,186
NtUnmapViewOfSection,187
NtWriteFile,188
NtWriteVirtualMemory,189
ObtainUserAgentString,190
OleInitialize,191
OpenSCManagerA,192
OpenSCManagerW,193
OpenServiceA,194
OpenServiceW,195
OutputDebugStringA,196
PRF,197
Process32FirstW,198
Process32NextW,199
ReadCabinetState,200
ReadProcessMemory,201
RegCloseKey,202
RegCreateKeyExA,203
RegCreateKeyExW,204
RegDeleteKeyA,205
RegDeleteKeyW,206
RegDeleteValueA,207
RegDeleteValueW,208
RegEnumKeyExA,209
RegEnumKeyExW,210
RegEnumKeyW,211
RegEnumValueA,212
RegEnumValueW,213
RegOpenKeyExA,214
RegOpenKeyExW,215
RegQueryInfoKeyA,216
RegQueryInfoKeyW,217
RegQueryValueExA,218
RegQueryValueExW,219
RegSetValueExA,220
RegSetValueExW,221
RegisterHotKey,222
RemoveDirectoryA,223
RemoveDirectoryW,224
RtlAddVectoredContinueHandler,225
RtlAddVectoredExceptionHandler,226
RtlDecompressBuffer,227
SHGetFolderPathW,228
SHGetSpecialFolderLocation,229
SearchPathW,230
SendNotifyMessageA,231
SendNotifyMessageW,232
SetEndOfFile,233
SetErrorMode,234
SetFileAttributesW,235
SetFileInformationByHandle,236
SetFilePointer,237
SetFilePointerEx,238
SetFileTime,239
SetInformationJobObject,240
SetStdHandle,241
SetUnhandledExceptionFilter,242
SetWindowsHookExA,243
SetWindowsHookExW,244
ShellExecuteExW,245
SizeofResource,246
StartServiceA,247
StartServiceW,248
Thread32First,249
Thread32Next,250
URLDownloadToFileW,251
UnhookWindowsHookEx,252
UuidCreate,253
WSAConnect,254
WSARecv,255
WSARecvFrom,256
WSASend,257
WSASendTo,258
WSASocketA,259
WSASocketW,260
WSAStartup,261
WriteConsoleA,262
WriteConsoleW,263
WriteProcessMemory,264
__anomaly__,265
__exception__,266
accept,267
bind,268
closesocket,269
connect,270
getaddrinfo,271
gethostbyname,272
getsockname,273
ioctlsocket,274
listen,275
recv,276
recvfrom,277
select,278
send,279
sendto,280
setsockopt,281
shutdown,282
socket,283
timeGetTime,284
